,Algorithm,board_index,K,generated_nodes,average_time,total_steps,sol_len
202,A_star,1,3,72,0.0005397510000017292,9,9
203,A_star,1,4,90,0.0005155960000161031,9,9
204,A_star,1,5,112,0.0005326720000067553,9,9
205,A_star,1,6,130,0.0005246560000017553,9,9
206,A_star,1,7,152,0.0005663750000059054,9,9
207,A_star,1,8,173,0.0005312300000019832,9,9
208,A_star,1,9,191,0.000577924999993229,9,9
209,A_star,1,10,209,0.0005453790000024128,9,9
210,A_star,1,11,225,0.0005596340000107602,9,9
211,A_star,1,12,237,0.0005802650000026688,9,9
212,A_star,1,13,249,0.0005638800000065203,9,9
213,A_star,1,14,264,0.0005765690000083623,9,9
214,A_star,1,15,280,0.0006337689999946861,9,9
215,A_star,1,16,294,0.0007728179999958229,9,9
216,A_star,1,17,312,0.0007373949999902151,9,9
217,A_star,1,18,333,0.0006107200000161583,9,9
218,A_star,1,19,352,0.0007478750000115042,9,9
219,A_star,1,20,372,0.000755990000006932,9,9
220,A_star,1,21,392,0.0006946879999912881,9,9
221,A_star,1,22,408,0.0007665409999998474,9,9
222,A_star,1,23,427,0.0007416230000001178,9,9
223,A_star,1,24,445,0.0006561000000084504,9,9
224,A_star,1,25,460,0.0008258570000077725,9,9
225,A_star,1,26,475,0.0006592920000110781,9,9
226,A_star,1,27,490,0.0007665299999905528,9,9
227,A_star,1,28,505,0.0007682620000110773,9,9
228,A_star,1,29,520,0.0008013969999944948,9,9
229,A_star,1,30,534,0.0008022879999987254,9,9
230,A_star,1,31,548,0.0009222940000006474,9,9
231,A_star,1,32,564,0.0009793360000060146,9,9
232,A_star,1,33,578,0.0015355930000015405,9,9
233,A_star,1,34,592,0.0012592709999967155,9,9
234,A_star,1,35,606,0.001490142999997488,9,9
235,A_star,1,36,620,0.0010342460000066468,9,9
236,A_star,1,37,636,0.0008162830000031818,9,9
237,A_star,1,38,650,0.0009166130000085104,9,9
238,A_star,1,39,664,0.0009444519999897239,9,9
239,A_star,1,40,678,0.0010687229999905411,9,9
240,A_star,1,41,694,0.0010232879999932721,9,9
241,A_star,1,42,708,0.0008565980000071249,9,9
242,A_star,1,43,726,0.00106698800001368,9,9
243,A_star,1,44,744,0.0011391719999971884,9,9
244,A_star,1,45,760,0.001282955999973865,9,9
245,A_star,1,46,774,0.001389561999990292,9,9
246,A_star,1,47,790,0.0034784100000240415,9,9
247,A_star,1,48,806,0.0017289249999998901,9,9
248,A_star,1,49,822,0.0015355670000064946,9,9
249,A_star,1,50,838,0.001195217999996885,9,9
250,A_star,2,1,281,0.006207823000011103,101,12
251,A_star,2,2,287,0.0031223290000173165,52,12
252,A_star,2,3,292,0.0025234300000397526,36,12
253,A_star,2,4,306,0.0023061789999871962,29,12
254,A_star,2,5,312,0.0020821909999733635,24,12
255,A_star,2,6,322,0.001590396000048031,21,12
256,A_star,2,7,332,0.0013009960000454157,19,12
257,A_star,2,8,352,0.0013504430000318734,18,12
258,A_star,2,9,370,0.0012121530000126768,17,12
259,A_star,2,10,382,0.0011674500000128773,16,12
260,A_star,2,11,388,0.000981475000013461,15,12
261,A_star,2,12,388,0.001038971999983005,14,12
262,A_star,2,13,423,0.0009353790000113804,14,12
263,A_star,2,14,413,0.0009762510000018665,13,12
264,A_star,2,15,443,0.0008538610000198332,13,12
265,A_star,2,16,472,0.000971095999989302,13,12
266,A_star,2,17,498,0.0009617580000269754,13,12
267,A_star,2,18,525,0.0009576120000190258,13,12
268,A_star,2,19,495,0.0008620340000334182,12,12
269,A_star,2,20,521,0.0008876470000063818,12,12
270,A_star,2,21,543,0.0010111559999995733,12,12
271,A_star,2,22,565,0.0009219550000079834,12,12
272,A_star,2,23,591,0.0009069050000073275,12,12
273,A_star,2,24,614,0.000999186999970334,12,12
274,A_star,2,25,638,0.0009469539999986409,12,12
275,A_star,2,26,662,0.0008902129999876252,12,12
276,A_star,2,27,686,0.001071807999999237,12,12
277,A_star,2,28,710,0.001108788000013874,12,12
278,A_star,2,29,734,0.0009227910000186057,12,12
279,A_star,2,30,758,0.0010512710000023162,12,12
280,A_star,2,31,782,0.0011306650000221907,12,12
281,A_star,2,32,806,0.0010305839999955424,12,12
282,A_star,2,33,833,0.001250389000007317,12,12
283,A_star,2,34,861,0.0011203060000002552,12,12
284,A_star,2,35,881,0.0011797120000289851,12,12
285,A_star,2,36,907,0.0010758169999860456,12,12
286,A_star,2,37,931,0.0010731090000183484,12,12
287,A_star,2,38,955,0.0012389060000089103,12,12
288,A_star,2,39,975,0.0011788100000057965,12,12
289,A_star,2,40,997,0.0012282390000223132,12,12
290,A_star,2,41,1017,0.0012086850000093817,12,12
291,A_star,2,42,1037,0.0012849320000020725,12,12
292,A_star,2,43,1059,0.0012270690000298146,12,12
293,A_star,2,44,1079,0.0012446839999870462,12,12
294,A_star,2,45,1103,0.0012580489999959353,12,12
295,A_star,2,46,1125,0.0012144519999856128,12,12
296,A_star,2,47,1148,0.0013526669999976092,12,12
297,A_star,2,48,1173,0.00131589700000859,12,12
298,A_star,2,49,1194,0.0012721220000275935,12,12
299,A_star,2,50,1215,0.0013861179999980777,12,12
